,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9501,0.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.0,0.7262823529411764,0.7153764705882354,0.5756875,0.0,0.6448,0.6374727272727273,0.7140066666666666,0.7648699999999999,0.0,0.5536416666666665,0.0,0.0,0.0,0.24684999999999999,0.0,0.655511111111111,0.67235,0.5275846153846153,0.6701363636363639,0.0,0.17082,0.0,0.0,0.287725,0.16585,0.1059,0.0,0.0,0.0,0.0,0.5474187500000001,0.0,0.0,0.0,0.0,0.33766250000000003,0.0,0.56616,0.0,0.0,0.0,0.16213333333333335,0.2626,0.336825,0.2884818181818182,0.53169,0.8346071428571429,0.64315,0.5461461538461538,0.0,0.31064,0.0,0.1267,0.42002999999999996,0.2961,0.46810000000000007,0.88896,0.0,0.0,0.33414444444444436,0.5748181818181817,0.0,0.3100375,0.6665,0.0,0.0,0.0,0.0,0.6792500000000001,0.32844444444444443,0.2807,0.5663166666666667,0.0,0.5991941176470589,0.0,0.7651526315789474,0.121,0.0,0.0,0.0,0.0,0.5832999999999999,0.1325,0.0,0.4185833333333333,0.0,0.0,0.7190624999999998,0.9014466666666668,0.0,0.7252555555555555,0.0,0.0,0.0,0.23008333333333333,0.5586818181818183,0.0,0.65705,0.7077437499999999,0.52532,0.5676529411764706,0.0,0.0,0.59789375,0.7332214285714285,0.1186,0.0,0.0,0.0,0.12886666666666666,0.0,0.0,0.0,0.3906500000000001,0.3114454545454545,0.434809090909091,0.14614999999999997,0.5161181818181818,0.7715166666666669,0.5805642857142856,0.0,0.0,0.0,0.0,0.35081818181818175,0.0,0.0,0.0,0.0,0.0,0.1086,0.0,0.33883749999999996,0.0,0.7100454545454545,0.0,0.5930428571428571,0.0,0.0,0.6784624999999999,0.41322000000000003,0.0,0.0,0.5469500000000002,0.0,0.0,0.7764,0.0,0.7355631578947367,0.5928444444444445,0.5856999999999999,0.0,0.0,0.0,0.0,0.7101750000000001,0.6897470588235292,0.0,0.22999999999999998,0.6048800000000001,0.0,0.0,0.0,0.0,0.0,0.3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593075,0.8994500000000001,0.0,0.0,0.0,0.34315,0.1205,0.0,0.0,0.0,0.18986666666666666,0.0,0.6633571428571428,0.44215000000000004,0.31686363636363635,0.0,0.63985,0.0,0.0,0.0,0.2767818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.2969545454545454,0.24230000000000002,0.0,0.0,0.0,0.4603714285714286,0.0,0.0,0.0,0.0,0.4492666666666667,0.0,0.4129,0.0,0.1523,0.1027,0.0,0.0,0.0,0.0,0.197775,0.0,0.40201249999999994,0.0,0.7856933333333332,0.15406666666666666,0.0,0.24863636363636357,0.3281133333333333,0.0
Allies of World War II,0.0,0.3252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2724,0.2071,0.0,0.0,0.1413,0.0,0.0,0.0,0.0,0.0,0.0,0.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2708,0.1861,0.0,0.0,0.0,0.0,0.0,0.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598,0.1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007,0.0,0.0,0.0,0.0,0.0,0.1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Aircraft Factory S.E.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
