,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
Jagdstaffel,0.7922,0.8585,1.0,0.91386,0.781125,0.86235,0.6129,0.0,0.0,0.0,0.8901,0.7482571428571427,0.8267749999999999,0.87015,0.6428499999999999,0.0,0.9539,0.87,0.6970000000000001,0.9028333333333333,0.7959499999999999,0.0,0.60535,0.0,0.6839,0.8854,0.8529,0.7298333333333332,0.0,0.89675,0.0,0.7451,0.6025,0.0,0.7549,1.0,0.5118,0.0,0.7802,0.8456499999999999,0.8067500000000001,0.8361666666666667,0.8616,0.9244333333333333,0.8711,0.7755999999999998,0.0,0.8472833333333334,0.8983,0.7892333333333333,0.0,0.0,0.96715,0.0,0.97852,0.8343666666666666,0.0,1.0,0.7958666666666666,0.87895,0.8915666666666665,0.9152999999999999,0.6386000000000001,0.8599833333333332,0.9486333333333333,1.0,0.6168,0.7683,0.0,0.0,0.6868,0.8214799999999999,0.0,0.0,0.8992333333333334,0.8778833333333332,1.0,0.0,0.8412000000000001,0.0,0.7141000000000001,0.0,0.0,0.8500399999999999,0.0,0.9801500000000001,0.0,0.0,0.92615,0.791475,0.795225,0.7458199999999999,0.8013,0.0,0.7968000000000001,0.7881666666666667,0.0,0.7442333333333333,0.97355,0.8585,0.0,0.8141,0.0,0.0,0.726,0.7306,0.0,0.0,0.0,0.0,1.0,0.0,0.5463,0.0,0.75495,0.0,0.0,0.0,1.0,0.6986,0.0,0.7472,0.0,0.0,0.98715,0.0,0.0,0.0,0.7746999999999999,0.0,0.0,0.6850499999999999,0.0,0.0,0.893025,0.5916666666666667,0.7773666666666667,0
Air forces,0.5464,0.0,0.0,0.616,0.7738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6564,0.79635,0.7005,0.8942,0.6986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6217,0.0,0.8631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6254,0.6781,1.0,0.0,0.6424,1.0,0.6812,0.0,0.0,0.6065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8819,0.8228,0.0,1.0,0.0,0.7231,0.0,0.6748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7848,0.0,0.0,0.6123,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5058,0.6485,0.0,0.0,0.72165,0.6509,0.0,0.0,0.8017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6958,0.0,0.0,0.8441000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.0,0.0,0.0,0.0,0.6302,0
No. 209 Squadron RAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Military,0.8154499999999999,0.8618571428571429,0.96236,0.8501923076923076,0.8961749999999998,0.8913454545454546,1.0,0.0,0.0,0.0,0.9107111111111111,0.8512461538461539,0.8279500000000001,0.8016000000000001,0.6974666666666667,0.0,0.776325,0.8914100000000001,0.86515,0.9042,0.90855,0.5878,0.827125,0.0,0.8006428571428571,0.9202727272727274,0.8477636363636364,0.8911200000000001,0.578875,0.9189416666666667,0.815375,0.9589454545454544,0.6113,0.0,0.725975,0.8367428571428571,0.6627666666666667,0.5569333333333334,0.8797,0.8681166666666668,0.859575,0.80844,0.7517333333333335,0.8591142857142857,0.8918571428571429,0.8371615384615385,0.0,0.8366846153846155,0.9154199999999999,0.7669857142857143,0.0,0.0,0.9176727272727273,0.0,0.9428249999999999,0.8530444444444445,0.0,0.89657,0.8822090909090909,0.7376833333333334,0.8233583333333335,0.9325888888888889,0.6289750000000001,0.9212300000000001,0.776375,0.8638166666666667,0.8011444444444444,0.882575,0.0,0.0,0.6451333333333333,0.7847142857142858,0.0,0.0,0.9317000000000001,0.897725,0.8282888888888889,0.0,0.8337545454545455,0.0,0.8682090909090907,0.0,0.0,0.919875,0.0,0.9908,0.0,0.0,0.9588222222222222,0.7924749999999999,0.8828615384615386,0.8854583333333333,0.8479384615384613,0.0,0.8598666666666667,0.8650666666666668,0.0,0.8787833333333334,0.8340333333333333,0.8050999999999999,0.0,0.85835,0.5605666666666667,0.8030250000000001,0.535,0.7405499999999999,0.0,0.0,0.0,0.5039,0.8305400000000001,0.9678,0.7354428571428571,0.0,0.77156,0.0,0.0,0.0,0.67886,1.0,0.0,0.8654,0.0,0.0,1.0,0.0,0.0,0.0,0.8251999999999999,0.0,0.8863,0.88175,0.0,0.0,0.9549363636363636,0.7168142857142857,0.981875,0
Imperial German Army Air Service,0.602,0.0,0.0,0.0,0.0,0.0,0.8765,0.0,0.0,0.0,0.0,0.6258,0.0,0.8869,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9005,1.0,0.7677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6662,1.0,0.0,0.5348,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421,0.0,0.0,1.0,0.7771,0.0,0.8474,0.0,0.8781,0.0,0.511,0.0,0.0,0.0,0.0,1.0,0.5146,0.0,0.0,0.5144,0.0,0.0,0.0,0.0,0.6691,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9821,0.0,0.6323,1.0,0.0,0.0,0.0,0.0,1.0,0
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5393,0.9216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6498,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
