,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
Jagdstaffel,0.8708600000000001,0.81585,0.77185,1.0,0.6152,0.85152,0.813125,0.84325,0.0,0.528,0.0,0.0,0.0,0.0,0.0,0.6942,0.8588,0.8314375,0.7671250000000001,0.0,0.67905,0.6905,0.0,0.0,0.7996,0.0,0.8798,0.69025,1.0,0.9841500000000001,0.0,0.521,0.0,0.8518,0.0,0.0,0.0,0.9258,0.9063,0.8626333333333333,0.7038,0.0,0.0,0.7042,0.8083750000000001,0.0,1.0,0.8506,0.0,0.0,0.0,0.0,0.9012,0.7454999999999999,0.8227,0.0,0.0,0.8558,0.0,0.8603749999999999,1.0,0.5274,0.7843,0.0,1.0,1.0,0.8615333333333334,0.909875,0.84095,0.0,0.971025,0.9397800000000001,0.8989000000000001,0.0,0.8561666666666667,0.0,0.0,0.0,0.904875,0.0,0.0,0.92622,0.8451,1.0,0.0,0.7078,0.8371333333333334,0.7178999999999999,0.7288666666666668,0.5786,0.8737166666666667,1.0,0.8903166666666668,0.0,0.81145,0.84045,0.0,1.0,0.6058,0.0,1.0,0.8140999999999999,0.0,0.0,0.0,0.0,0.95724,0.5147,0.0,0.0,0.0,0.0,0.8654333333333333,0.9187166666666667,1.0,0.0,0.0,0.77994,0.0,0.0,0.6086,1.0,0.0,0.0,0.91716,0.7011,0.7505,0.9522999999999999,0.0,0.0,0.0,0.884375,0.0,0.641,0.82885,0.88015,1.0,0.7824,0.698975,0.8938333333333333,0.778925,0.0,0.0,0.8028833333333334,0.81798,0.0,0.0,1.0,0.0,0.0,0.88115,0.0,0.0,0.0,0.0,0.0,0.58565,0.0,0.0,0.9736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8463499999999999,0.5531,0.0,0.0,0.53415,0.80735,0.75295,0.0,0.0,0.0,1.0,0.0,0.5808,0.6928,0.0,0.6072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78075,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.908875,0.0,0.0,0.0,0.5966,0
Air forces,0.7911,0.0,0.0,0.0,0.0,0.6771,0.7452666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7488999999999999,0.6938,0.87715,0.0,0.0,0.0,0.0,0.5853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8025,0.5808,0.0,1.0,0.0,0.5329,0.6515,1.0,0.0,0.7357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008,0.0,0.0,0.8442,0.6484,0.6975,0.0,0.8746,0.0,0.0,0.0,0.0,0.0,0.0,0.7399,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8099,0.61175,0.0,0.0,0.0,0.0,0.6998,0.8712,0.0,0.0,0.6886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6235999999999999,0.0,0.0,0.0,0.0,0.5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
No. 209 Squadron RAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Military,0.8735599999999999,0.9499000000000001,0.9436249999999999,0.95816,0.7809125,0.828342857142857,0.9031083333333334,0.8913272727272726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.54665,0.8786777777777778,0.9228999999999999,0.8116222222222221,0.0,0.8354,0.8322499999999999,0.0,0.0,0.7341333333333333,0.0,0.8873800000000001,0.8617,1.0,0.742075,0.0,0.0,1.0,0.782275,0.0,0.0,0.0,0.98992,0.9301444444444444,0.8415700000000002,0.8293,0.62046,0.0,0.6307,0.8589416666666665,0.6479250000000001,0.769125,0.8872230769230769,0.0,0.0,0.0,0.0,0.8783500000000001,0.9273428571428571,0.9475666666666666,0.5168,0.5361,0.9147666666666666,0.0,0.7674125000000002,0.5718750000000001,0.0,0.819742857142857,0.0,0.8788444444444444,0.70872,0.8777384615384616,0.8053222222222222,0.8816692307692308,0.0,0.9161333333333334,0.8438999999999999,0.9161999999999999,0.0,0.7645,0.0,0.0,0.0,0.9612299999999999,0.0,0.0,0.9722181818181818,0.89955,0.8188125,0.0,0.6721666666666667,0.9535199999999999,0.8679500000000001,0.88398,0.7855,0.8780416666666668,0.8426272727272728,0.9556666666666666,0.0,0.71894,0.8455416666666666,0.0,0.7220333333333332,0.6786,0.0,0.7348250000000001,0.8846416666666667,0.0,0.0,0.0,0.0,0.784411111111111,1.0,0.0,0.0,0.0,0.0,0.9575875,0.8844166666666666,0.8020285714285713,0.0,0.0,0.8727600000000001,0.0,0.0,0.67042,0.9980571428571429,0.0,0.0,0.8944222222222221,0.78081,0.8522500000000001,0.8283,0.0,0.0,0.0,0.8416142857142858,0.0,0.5254,0.87252,0.6764111111111111,0.8034454545454545,0.8946909090909091,0.8988800000000001,1.0,0.834625,0.0,0.0,0.8929400000000001,0.8663727272727272,0.0,0.0,0.8535750000000001,0.505,0.0,0.8309333333333333,0.0,0.0,0.0,0.0,0.0,0.8739,0.6344333333333333,0.0,0.6741125,0.5674333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.803757142857143,0.7572,0.0,0.6081,0.0,0.67635,0.6460857142857143,0.58755,0.0,0.0,0.661,0.0,1.0,0.7946666666666666,0.0,0.7859499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82375,0.0,0.0,0.8924,0.8424999999999999,0.75525,0.0,0.0,0.8403615384615384,0.5710666666666667,0.0,0.0,0.6057666666666667,0
Imperial German Army Air Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7834,0.0,0.0,0.0,0.0,0.0,0.0,0.5195,0.0,0.5809,0.0,0.743,1.0,0.0,0.0,0.923,0.0,0.0,1.0,1.0,0.7474,0.0,0.0,0.6051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9154,1.0,0.0,0.8109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7184,0.0,1.0,0.7357,0.0,0.6459,0.0,0.0,0.0,0.5742,0.0,0.0,0.0,0.0,1.0,0.8275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7115,0.0,0.0,1.0,0.0,0.0,0.0,0.7369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7791,0.0,0.0,0.0,0.0,0.0,0.0,0.6578,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7614,0.0,0.0,0.0,0.5062,0.6631,0.0,0.0,0.0,0.0,0.0,0.7112,0.0,0.0,0.8394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6369,1.0,0.6013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8436,0.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
